type,id,username,text,url,epoch,media,retweetedTweet,retweetedTweetID,retweetedUserID,id_str,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,conversationIdStr,hashtags,mentionedUsers,links,viewCount,quotedTweet,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,location,cash_app_handle,user
tweet-,1888406906286510533,IamCyanger_af,@FeFye_ $MAHOOM,https://twitter.com/IamCyanger_af/status/1888406906286510533,1739066266,[],False,,,1888406906286510533,qme,@FeFye_ $MAHOOM,0,0,1,0,1888403673144856844,1888403673144856844,[],"[{'id_str': '1821254607583985664', 'name': 'Fye', 'screen_name': 'FeFye_', 'indices': [0, 7]}]",[],"{'count': '65', 'state': 'EnabledWithCount'}",False,FeFye_,1888403673144856844,1821254607583985664,,,"{'id': 968249129930543104, 'id_str': '968249129930543104', 'url': 'https://twitter.com/Cyanger', 'username': 'Cyanger', 'rawDescription': ""I'm ready to crash out at the slightest shit these days\n\n$LOTTO\n#LottoBaller"", 'created': datetime.datetime(2018, 2, 26, 22, 19, 16, tzinfo=datetime.timezone.utc), 'followersCount': 2594, 'friendsCount': 4966, 'statusesCount': 34547, 'favouritesCount': 44302, 'listedCount': 13, 'mediaCount': 2478, 'location': 'Reading, PA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1867423860817084416/TiRmVF1-_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888406814787863012,PatriotCzar,"“The @babygirlsas Song”  🎶
Aka
“Chantilly Lace”

#SpacesHost   @Jochal2 👼😘🥰🔥🫠
CoHost @Cherryv64539 🥰♥️😘🤗

#Unrivaled Sacked $MAHOOM Pacers Auburn Defy Ignore USGS USAID #UFC312 #AEWCollision https://t.co/LzbBPNjNw0",https://twitter.com/PatriotCzar/status/1888406814787863012,1739066244,"[{'display_url': 'pic.x.com/LzbBPNjNw0', 'expanded_url': 'https://x.com/PatriotCzar/status/1888406814787863012/video/1', 'id_str': '1888406582188224512', 'indices': [191, 214], 'media_key': '13_1888406582188224512', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1888406582188224512/img/zHg70b843MWZNWH2.jpg', 'type': 'video', 'url': 'https://t.co/LzbBPNjNw0', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 638, 'w': 774, 'resize': 'fit'}, 'medium': {'h': 638, 'w': 774, 'resize': 'fit'}, 'small': {'h': 561, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 638, 'width': 774, 'focus_rects': []}, 'allow_download_status': {'allow_download': True}, 'video_info': {'aspect_ratio': [387, 319], 'duration_millis': 227988, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1888406582188224512/pl/87bWQaB4oE4pkDxM.m3u8?tag=16'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1888406582188224512/vid/avc1/326x270/Su28qWfDGDuy0ku3.mp4?tag=16'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1888406582188224512/vid/avc1/436x360/CUYb93CMFv5DcK0w.mp4?tag=16'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1888406582188224512/vid/avc1/774x638/WsHKLiF8UCWVjzcY.mp4?tag=16'}]}, 'media_results': {'result': {'media_key': '13_1888406582188224512'}}}]",False,,,1888406814787863012,en,"“The @babygirlsas Song”  🎶
Aka
“Chantilly Lace”

#SpacesHost   @Jochal2 👼😘🥰🔥🫠
CoHost @Cherryv64539 🥰♥️😘🤗

#Unrivaled Sacked $MAHOOM Pacers Auburn Defy Ignore USGS USAID #UFC312 #AEWCollision https://t.co/LzbBPNjNw0",0,2,3,0,1888406814787863012,1888406814787863012,"[{'indices': [49, 60], 'text': 'SpacesHost'}, {'indices': [106, 116], 'text': 'Unrivaled'}, {'indices': [169, 176], 'text': 'UFC312'}, {'indices': [177, 190], 'text': 'AEWCollision'}]","[{'id_str': '1398826676218302464', 'name': 'babygirl 🔺Hera', 'screen_name': 'babygirlsas', 'indices': [5, 17]}, {'id_str': '1429381430304464900', 'name': 'Joey✨🌷💞🌷🙏🏻✨', 'screen_name': 'Jochal2', 'indices': [63, 71]}, {'id_str': '1806781633380667392', 'name': '@Cherryv_692', 'screen_name': 'Cherryv64539', 'indices': [85, 98]}]",[],"{'count': '434', 'state': 'EnabledWithCount'}",True,,,,,,"{'id': 71926170, 'id_str': '71926170', 'url': 'https://twitter.com/SailorJohn - GOD GIVEN Z28.310 Positive DNA 🙏', 'username': 'SailorJohn - GOD GIVEN Z28.310 Positive DNA 🙏', 'rawDescription': '“It’s Been Said I’m Wise But To No Surprise, I’m Just As Lost As You. Never Ending Search For Answers, Never Finding What To Do” ©2024 EVERYTHING I’D SAY TO YOU', 'created': datetime.datetime(2009, 9, 6, 0, 24, 46, tzinfo=datetime.timezone.utc), 'followersCount': 11356, 'friendsCount': 11820, 'statusesCount': 406568, 'favouritesCount': 269338, 'listedCount': 20, 'mediaCount': 18562, 'location': '♂ ARIZONA & ALABAMA “The Gump”', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1834182013495943168/88kcrEOa_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888406693853175925,zhangwhei,"shoutout pat $mahoom early super bowl sendorr 

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump",https://twitter.com/zhangwhei/status/1888406693853175925,1739066215,[],False,,,1888406693853175925,fi,"shoutout pat $mahoom early super bowl sendorr 

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump",0,0,0,0,1888406693853175925,1888406693853175925,[],[],[],"{'count': '36', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 1339048707514396674, 'id_str': '1339048707514396674', 'url': 'https://twitter.com/ninja', 'username': 'ninja', 'rawDescription': 'crypto degen since 2017 🇨🇳 trench warrior 2024', 'created': datetime.datetime(2020, 12, 16, 3, 24, 32, tzinfo=datetime.timezone.utc), 'followersCount': 21, 'friendsCount': 37, 'statusesCount': 728, 'favouritesCount': 896, 'listedCount': 0, 'mediaCount': 155, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1787722593056743424/KdEYC3EP_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888406498402795978,eeniola_peter,@FeFye_ $MAHOOM,https://twitter.com/eeniola_peter/status/1888406498402795978,1739066168,[],False,,,1888406498402795978,qme,@FeFye_ $MAHOOM,0,0,1,0,1888403673144856844,1888403673144856844,[],"[{'id_str': '1821254607583985664', 'name': 'Fye', 'screen_name': 'FeFye_', 'indices': [0, 7]}]",[],"{'count': '57', 'state': 'EnabledWithCount'}",False,FeFye_,1888403673144856844,1821254607583985664,,,"{'id': 1755560164353044480, 'id_str': '1755560164353044480', 'url': 'https://twitter.com/Eon', 'username': 'Eon', 'rawDescription': 'Crypto and Blockchain enthusiast |community manager | moderator |Shiller | Reply services | #Web3 #Defi #Bitcoin / R6BNUNNY', 'created': datetime.datetime(2024, 2, 8, 11, 52, 31, tzinfo=datetime.timezone.utc), 'followersCount': 844, 'friendsCount': 3001, 'statusesCount': 37919, 'favouritesCount': 67041, 'listedCount': 1, 'mediaCount': 1161, 'location': 'Ibadan ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1877360222131441664/YWvpqKXI_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888406415926309091,Leonardoduko,@FeFye_ $MAHOOM,https://twitter.com/Leonardoduko/status/1888406415926309091,1739066149,[],False,,,1888406415926309091,qme,@FeFye_ $MAHOOM,0,0,1,0,1888403673144856844,1888403673144856844,[],"[{'id_str': '1821254607583985664', 'name': 'Fye', 'screen_name': 'FeFye_', 'indices': [0, 7]}]",[],"{'count': '49', 'state': 'EnabledWithCount'}",False,FeFye_,1888403673144856844,1821254607583985664,,,"{'id': 1774440207389171712, 'id_str': '1774440207389171712', 'url': 'https://twitter.com/ALTER 🐾', 'username': 'ALTER 🐾', 'rawDescription': 'Only Possible on $SOLANA', 'created': datetime.datetime(2024, 3, 31, 14, 15, 1, tzinfo=datetime.timezone.utc), 'followersCount': 270, 'friendsCount': 20, 'statusesCount': 13377, 'favouritesCount': 16, 'listedCount': 0, 'mediaCount': 175, 'location': 'not found', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1885126343316430851/VFWdajaW_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888406390110351633,kontlolh,@FeFye_ $MAHOOM,https://twitter.com/kontlolh/status/1888406390110351633,1739066142,[],False,,,1888406390110351633,qme,@FeFye_ $MAHOOM,0,0,0,0,1888403673144856844,1888403673144856844,[],"[{'id_str': '1821254607583985664', 'name': 'Fye', 'screen_name': 'FeFye_', 'indices': [0, 7]}]",[],"{'count': '3', 'state': 'EnabledWithCount'}",False,FeFye_,1888403673144856844,1821254607583985664,,,"{'id': 1616969171715371009, 'id_str': '1616969171715371009', 'url': 'https://twitter.com/Rendy luckyboy', 'username': 'Rendy luckyboy', 'rawDescription': 'bismillah february first get $1000\n33SQ7H6K', 'created': datetime.datetime(2023, 1, 22, 1, 21, 19, tzinfo=datetime.timezone.utc), 'followersCount': 307, 'friendsCount': 1897, 'statusesCount': 6711, 'favouritesCount': 3186, 'listedCount': 1, 'mediaCount': 164, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1862307511413379072/I3T0BjpP_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888405738873118820,DIALLOOumarOliv,$Mahoom is pumpfuns communityFading this is such a bad idea https://t.co/XWfEUJfYao,https://twitter.com/DIALLOOumarOliv/status/1888405738873118820,1739065987,"[{'display_url': 'pic.x.com/XWfEUJfYao', 'expanded_url': 'https://x.com/DIALLOOumarOliv/status/1888405738873118820/photo/1', 'id_str': '1888405724935372800', 'indices': [60, 83], 'media_key': '3_1888405724935372800', 'media_url_https': 'https://pbs.twimg.com/media/GjT3AGqWQAA9Rbv.jpg', 'type': 'photo', 'url': 'https://t.co/XWfEUJfYao', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888405724935372800'}}}]",False,,,1888405738873118820,en,$Mahoom is pumpfuns communityFading this is such a bad idea https://t.co/XWfEUJfYao,0,2,5,0,1888405738873118820,1888405738873118820,[],[],[],"{'count': '984', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 404957723, 'id_str': '404957723', 'url': 'https://twitter.com/0xBagger', 'username': '0xBagger', 'rawDescription': 'kinda like this Web3 thing\n@Underground x @Azuki', 'created': datetime.datetime(2011, 11, 4, 17, 3, 52, tzinfo=datetime.timezone.utc), 'followersCount': 47, 'friendsCount': 92, 'statusesCount': 1177, 'favouritesCount': 981, 'listedCount': 0, 'mediaCount': 109, 'location': 'Poland', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865693571577450496/hEFnBgO5_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888405277567013256,AgusSud22579681,@FeFye_ $MAHOOM,https://twitter.com/AgusSud22579681/status/1888405277567013256,1739065877,[],False,,,1888405277567013256,qme,@FeFye_ $MAHOOM,0,0,1,0,1888403673144856844,1888403673144856844,[],"[{'id_str': '1821254607583985664', 'name': 'Fye', 'screen_name': 'FeFye_', 'indices': [0, 7]}]",[],"{'count': '54', 'state': 'EnabledWithCount'}",False,FeFye_,1888403673144856844,1821254607583985664,,,"{'id': 1272166543896412160, 'id_str': '1272166543896412160', 'url': 'https://twitter.com/Agus Sudaryanto', 'username': 'Agus Sudaryanto', 'rawDescription': 'cryptoenthusiast', 'created': datetime.datetime(2020, 6, 14, 13, 58, 46, tzinfo=datetime.timezone.utc), 'followersCount': 255, 'friendsCount': 1249, 'statusesCount': 13133, 'favouritesCount': 11173, 'listedCount': 5, 'mediaCount': 193, 'location': 'Malang, Jawa Timur', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1886474145145470976/NWr8kgp8_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888405019910647964,annie_karencita,"Building the magnum opus of $Mahoom 🚀

Electrified community. Game changing performance. Unrivaled crypto innovation. https://t.co/tismq0kIK4",https://twitter.com/annie_karencita/status/1888405019910647964,1739065816,"[{'display_url': 'pic.x.com/tismq0kIK4', 'expanded_url': 'https://x.com/annie_karencita/status/1888405019910647964/photo/1', 'id_str': '1888405005222170624', 'indices': [118, 141], 'media_key': '3_1888405005222170624', 'media_url_https': 'https://pbs.twimg.com/media/GjT2WNhWUAAjAas.jpg', 'type': 'photo', 'url': 'https://t.co/tismq0kIK4', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888405005222170624'}}}]",False,,,1888405019910647964,en,"Building the magnum opus of $Mahoom 🚀

Electrified community. Game changing performance. Unrivaled crypto innovation. https://t.co/tismq0kIK4",0,2,3,0,1888405019910647964,1888405019910647964,[],[],[],"{'count': '183', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 130732644, 'id_str': '130732644', 'url': 'https://twitter.com/Shobana S', 'username': 'Shobana S', 'rawDescription': 'we sell a wide range of high quality fashion products, we have promotions available, We accept Cash on Delivery worldwide, Contact me via Telegram:https://t.co/GqVrwJsTAL', 'created': datetime.datetime(2010, 4, 8, 4, 10, 45, tzinfo=datetime.timezone.utc), 'followersCount': 64, 'friendsCount': 71, 'statusesCount': 1046, 'favouritesCount': 877, 'listedCount': 0, 'mediaCount': 121, 'location': 'Pilis, Magyarország', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865696074888888320/nREFeksq_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
