type,id,username,text,url,epoch,media,retweetedTweet,retweetedTweetID,retweetedUserID,id_str,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,conversationIdStr,hashtags,mentionedUsers,links,viewCount,quotedTweet,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,location,cash_app_handle,user
tweet-,1888418495203045513,maebelles,"@FeFye_ GM Fye, just got up! Its already Sunday here.🍀

$MAHOOM",https://twitter.com/maebelles/status/1888418495203045513,1739069029,[],False,,,1888418495203045513,en,"@FeFye_ GM Fye, just got up! Its already Sunday here.🍀

$MAHOOM",0,0,0,0,1888403673144856844,1888403673144856844,[],"[{'id_str': '1821254607583985664', 'name': 'Fye', 'screen_name': 'FeFye_', 'indices': [0, 7]}]",[],"{'count': '31', 'state': 'EnabledWithCount'}",False,FeFye_,1888403673144856844,1821254607583985664,,,"{'id': 126026354, 'id_str': '126026354', 'url': 'https://twitter.com/MyMomentJourney', 'username': 'MyMomentJourney', 'rawDescription': 'Dreamer Believer Dad \n#BooGang #Flyz', 'created': datetime.datetime(2010, 3, 24, 16, 14, 24, tzinfo=datetime.timezone.utc), 'followersCount': 729, 'friendsCount': 3486, 'statusesCount': 16916, 'favouritesCount': 25732, 'listedCount': 12, 'mediaCount': 993, 'location': 'your feed', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1508828570877296640/lwxqhub1_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888418446259495045,Reecedrew189,"Very low sentiment for hodlers right now.Comfy in $Mahoom though.

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/99SU0FedMK",https://twitter.com/Reecedrew189/status/1888418446259495045,1739069017,"[{'display_url': 'pic.x.com/99SU0FedMK', 'expanded_url': 'https://x.com/Reecedrew189/status/1888418446259495045/photo/1', 'id_str': '1888418430585380864', 'indices': [112, 135], 'media_key': '3_1888418430585380864', 'media_url_https': 'https://pbs.twimg.com/media/GjUCjq5XoAA6G2K.jpg', 'type': 'photo', 'url': 'https://t.co/99SU0FedMK', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 648, 'y': 99, 'h': 197, 'w': 197}]}, 'medium': {'faces': [{'x': 518, 'y': 79, 'h': 157, 'w': 157}]}, 'small': {'faces': [{'x': 293, 'y': 44, 'h': 89, 'w': 89}]}, 'orig': {'faces': [{'x': 648, 'y': 99, 'h': 197, 'w': 197}]}}, 'sizes': {'large': {'h': 1000, 'w': 1500, 'resize': 'fit'}, 'medium': {'h': 800, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 453, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1000, 'width': 1500, 'focus_rects': [{'x': 0, 'y': 0, 'w': 1500, 'h': 840}, {'x': 212, 'y': 0, 'w': 1000, 'h': 1000}, {'x': 274, 'y': 0, 'w': 877, 'h': 1000}, {'x': 462, 'y': 0, 'w': 500, 'h': 1000}, {'x': 0, 'y': 0, 'w': 1500, 'h': 1000}]}, 'media_results': {'result': {'media_key': '3_1888418430585380864'}}}]",False,,,1888418446259495045,en,"Very low sentiment for hodlers right now.Comfy in $Mahoom though.

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/99SU0FedMK",0,3,3,0,1888418446259495045,1888418446259495045,[],[],[],"{'count': '162', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 850902312, 'id_str': '850902312', 'url': 'https://twitter.com/ShibonkGoat', 'username': 'ShibonkGoat', 'rawDescription': 'Trainers and Streetwear 🔥🔥', 'created': datetime.datetime(2012, 9, 28, 11, 31, 52, tzinfo=datetime.timezone.utc), 'followersCount': 63, 'friendsCount': 103, 'statusesCount': 1163, 'favouritesCount': 995, 'listedCount': 1, 'mediaCount': 117, 'location': 'Boston, MA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865695619387424768/yW3Pv0C3_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888417984462397529,Revajulia28,"Gm degens. $Mahoom electrifies the gridiron and crypto with unmatched liquidity, security, and rewards. 🚀💎

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/gkPiZILGPp",https://twitter.com/Revajulia28/status/1888417984462397529,1739068907,"[{'display_url': 'pic.x.com/gkPiZILGPp', 'expanded_url': 'https://x.com/Revajulia28/status/1888417984462397529/photo/1', 'id_str': '1888417968683401216', 'indices': [153, 176], 'media_key': '3_1888417968683401216', 'media_url_https': 'https://pbs.twimg.com/media/GjUCIyLWwAAG_Nd.jpg', 'type': 'photo', 'url': 'https://t.co/gkPiZILGPp', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888417968683401216'}}}]",False,,,1888417984462397529,en,"Gm degens. $Mahoom electrifies the gridiron and crypto with unmatched liquidity, security, and rewards. 🚀💎

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/gkPiZILGPp",2,3,6,0,1888417984462397529,1888417984462397529,[],[],[],"{'count': '107', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 3025179410, 'id_str': '3025179410', 'url': 'https://twitter.com/ValdirFabiano(JoinvilleiroSC)', 'username': 'ValdirFabiano(JoinvilleiroSC)', 'rawDescription': 'Web3 Discord Security + Custom Apps | CS Student | DM For Inquiries 🧙\u200d♂️', 'created': datetime.datetime(2015, 2, 18, 9, 4, 14, tzinfo=datetime.timezone.utc), 'followersCount': 53, 'friendsCount': 111, 'statusesCount': 1089, 'favouritesCount': 844, 'listedCount': 1, 'mediaCount': 129, 'location': 'Dubai, United Arab Emirates', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865695822492372992/0hGcGSw1_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888417969312571612,774179663Awa,"$Mahoom CHANNELS ELECTRIFIED COMMUNITY ENERGY WITH CUTTING EDGE BLOCKCHAIN TECHNOLOGY.

UNRIVALED LIQUIDITY, SECURITY, AND MAHOMES THEMED REWARDS LEAD THE CHARGE.

THE ULTIMATE SYMBOL OF UNITY IN SPORTS AND CRYPTO. 🚀 https://t.co/kO9QjlOElX",https://twitter.com/774179663Awa/status/1888417969312571612,1739068903,"[{'display_url': 'pic.x.com/kO9QjlOElX', 'expanded_url': 'https://x.com/774179663Awa/status/1888417969312571612/photo/1', 'id_str': '1888417956188635136', 'indices': [217, 240], 'media_key': '3_1888417956188635136', 'media_url_https': 'https://pbs.twimg.com/media/GjUCIDoXwAARfwA.jpg', 'type': 'photo', 'url': 'https://t.co/kO9QjlOElX', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 500, 'w': 400, 'resize': 'fit'}, 'medium': {'h': 500, 'w': 400, 'resize': 'fit'}, 'small': {'h': 500, 'w': 400, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 500, 'width': 400, 'focus_rects': [{'x': 0, 'y': 75, 'w': 400, 'h': 224}, {'x': 0, 'y': 0, 'w': 400, 'h': 400}, {'x': 0, 'y': 0, 'w': 400, 'h': 456}, {'x': 150, 'y': 0, 'w': 250, 'h': 500}, {'x': 0, 'y': 0, 'w': 400, 'h': 500}]}, 'media_results': {'result': {'media_key': '3_1888417956188635136'}}}]",False,,,1888417969312571612,en,"$Mahoom CHANNELS ELECTRIFIED COMMUNITY ENERGY WITH CUTTING EDGE BLOCKCHAIN TECHNOLOGY.

UNRIVALED LIQUIDITY, SECURITY, AND MAHOMES THEMED REWARDS LEAD THE CHARGE.

THE ULTIMATE SYMBOL OF UNITY IN SPORTS AND CRYPTO. 🚀 https://t.co/kO9QjlOElX",0,2,4,0,1888417969312571612,1888417969312571612,[],[],[],"{'count': '88', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 3120967301, 'id_str': '3120967301', 'url': 'https://twitter.com/Coin Circle 小公主', 'username': 'Coin Circle 小公主', 'rawDescription': 'I mindlessly code and burn my retinas in the middle of the night👨\u200d💻 @GlowieApp', 'created': datetime.datetime(2015, 3, 27, 10, 9, 48, tzinfo=datetime.timezone.utc), 'followersCount': 40, 'friendsCount': 121, 'statusesCount': 1104, 'favouritesCount': 968, 'listedCount': 1, 'mediaCount': 105, 'location': 'Earth', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865693326588149760/5Hx28Gh9_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
